commande_id, client_id, produit, montant, date
        101,         1, Laptop ,    1200, 2024-01-15
        102,         2, Souris ,      25, 2024-01-18
        103,         1, Clavier,      85, 2024-02-03
        104,         3, Écran  ,     450, 2024-02-10
        105,         5, Laptop ,    1200, 2024-02-14
        106,         2, Webcam ,      75, 2024-03-01
        107,         8, Casque ,     120, 2024-03-05
        108,         4, Souris ,      25, 2024-03-12
        109,         9, Clavier,      85, 2024-03-20
        110,         1, Webcam ,      75, 2024-04-02
